German,English,Type,Attributes
haben,to have,Verb,7/4 -
die Schweiz,Switzerland,Noun,7/4 f
schön,beautiful,Adjective,2/4 -
der Zug,train,Noun,5/7 m
das Taxi,taxi,Noun,5/4 n
Polen,Poland,Noun,4/7 -
das Gleis,railway track,Noun,4/6 n
der Apfelsaft,apple juice,Noun,7/4 m
das Hänchen,chicken,Noun,6/5 n
das Brötchen,bun,Noun,5/4 n
der Euro,euro,Noun,6/7 f
der Salat,salat,Noun,7/4 m
das Eis,ice,Noun,4/4 n
falsch,false,Adjective,5/5 -
die Toilette,toilet,Noun,10/4 f
die Adresse,address,Noun,10/5 f
der Fernseher,TV,Noun,2/6 m
die Nacht,night,Noun,6/6 f
richtig,right,Adjective,3/5 -
das Handy,phone,Noun,2/4 n
das Formular,form,Noun,7/7 n
die Dusche,shower,Noun,6/4 f
das Bad,bathroom,Noun,7/5 n
das Frühstück,breakfast,Noun,6/6 n
die Türkei,Turkey,Noun,7/6 n
die Pommes frites,french fries,Noun,6/4 f
Deutschland,Germany,Noun,0/4 -
der Vorname,first name,Noun,5/9 m
der Familienname,surname,Noun,5/7 m
der Geldautomat,cash mashine,Noun,5/7 n
die Schwester,sister,Noun,6/5 f
die Mutter,mother,Noun,9/4 f
der Vater,father,Noun,3/5 m
die Nummer,number,Noun,6/5 f
der Schmerz,pain,Noun,1/9 m
stören,to bother,Verb,1/4 -
das Anliegen,concern,Noun,7/10 n
das Unterschrift,signature,Noun,3/4 n
"Wo ist der Geldautomat, bitte?",Where is a cash mashine?,Phrase,0/4 -
"Guten Morgen, Herr Braun.","Good morning, sir Braun.",Phrase,0/4 -
lesen,read,Verb,3/5 - lese liest liest lesen lest lesen
fahren,drive,Verb,0/4 - fahre fährst fährt fahren fahrt fahren
stoßen,encounter,Verb,1/7 - stoße stößt stößt stoßen stoßt stoßen
sein,to be,Verb,0/4 - bin bist ist sind seid sind
hören,to hear,Verb,0/4 - höre hörst hört hören hört hören
der Hund,dog,Noun,4/5 m
die Katze,cat,Noun,4/4 f
die Gabel,fork,Noun,5/4 f
die Bratpfanne,frying pan,Noun,1/7 f
reingen,clean,Verb,0/4 - reinge rieingst rieingt reingen reingt reingen
tanzen,dance,Verb,0/4 - tanze tanzt tanzt tanzen tanzt tanzen
kommen,come,Verb,0/4 - komme kommst kommt kommen kommt kommen
