deutsch, russian, correct, incorrect
das Auto,автомобиль,0,1
der Beginn,начало,0,1
der Freund,друг,0,1
die Freundin,подруга,0,1
der Friseur,парикмахер,0,1
der Geburstag,день рождения,0,1
der Gruß,поздравление,0,1
die Karte,билет,0,1
der Mensch,человек,0,1
die Mutter,мама,0,1
der Vater,папа,0,1
die Öffnungszeit,часы работы,0,1
das Plakat,плакат,0,1
die SMS,смс,0,1
das Tier,животное,0,1
der Zettel,листок,0,1
beginnen,начинать,0,1
besuchen,посещать,0,1
brauchen,нуждаться,0,1
finden,искать,0,1
funktionieren,функционировать,0,1
geben,давать,0,1
es gibt ,есть,0,1
geboren sein,родиться,0,1
gehen,идти,0,1
gründen,основывать,0,1
grüßen,здороваться,0,1
haben,иметь,0,1
kennen,знать,0,1
lernen,учить,0,1
machen,делать,0,1
planen,планировать,0,1
präsentieren,представлять,0,1
produzieren,производить,0,1
telefonieren,звонить,0,1
zeigen,указывать,0,1
falsch,неверный,0,1
klein,маленький,0,1
nett,милый,0,1
populär,популярный,0,1
privat,частный,0,1
sicher,надежный,0,1
teuer,дорогой,0,1
typisch,типичный,0,1
erst,первый,0,1
gern,охотно,0,1
hoffentlich,с надеждой,0,1
leider,к сожалению,0,1
noch,еще,0,1
schon,уже,0,1
sehr,очень,0,1
hast du Last?,не хочешь ли ты?,0,1
woher?,
